,Order,Family,Species,Common name,Habitat,Feeding strategy,Trophic level,IUCN,Fisheries interest,G/GI,"Method 1,2,3",N,N of fish ingested,FO (%) ,PL (N/fish),Plastic type,Polymers,"Plastic size (mm)         < 1, 1-5, > 5",Life stage,Length (cm),Location,Region,Reference,Purpose of the study,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,Naso unicornis,Bluespine unicornfish,"N, B",G,2.2,LC,Y,GI,3,30,6,20.00,1.3,fragments,,< 1,,27TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,GI,3,2,0,0.00,,,,,,40,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,Ammodytidae,Ammodytes personatus,Pacific sandlance,"N, B",P,3.1,NE,Y,GI,2,734,11,1.50,5,fibres,PES,,,,Pacific North - British Columbia,PAC N,"Hipfner et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,Arripidae,Arripis sp.,Australian salmon,,,,,n/a,"G, GI",2,9,0,0.00,,,,,,17.7,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,Blennidae,Scartichthys viridis,n/a,"N, B",G,2.2,LC,N,GI,3,19,19,100.00,,fibres,,,J,,Pacific South - Chile,PAC S,"Mizraji et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,Bramidae,Brama brama,Atlantic pomfret,"O, P",PP,4.1,NE,Y,G,2,3,1,33.33,2,fibres,"PE, PA, Ra, PEs, PMMA ",1-5,,,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,GI ,2,9,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,Callionymidae,Callionymus lyra,Dragonet,"N, D",BP,3.3,NE,Y,GI,2,50,19,38.00,1.8,fibres,rayon,1-5,J-A,,Atlantic North - English Channel,ATL N,"Lusher et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,GI ,2,n/a,,yes,,fibres,PA,<1,larva,,Atlantic North - English Channel,ATL N,"Steer et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,G,1,2116,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,Callionymus planus,Japanese darter dragonet,"N, B",BP,3.3,NE,N,GI,3,18,18,100.00,6.5,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,Carangidae,Caranx crysos,Blue runner,"N, P",PP,4.1,LC,Y,GI,3,1,1,100.00,5,,,,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,G ,2,3,0,0.00,,,,,,,Atlantic South - Brazil,ATL S,"Miranda & de Carvalho-Souza, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,GI,2,3,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,Caranx hippos,Crevalle jack,"N-O, BP",BP,3.6,LC,Y,GI,2,3,3,100.00,30.7,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,Caranx latus,Horse-eye jack,"N-O, P",BP,4.2,LC,Y,GI,2,57,,no,,,,,,4-5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,Caranx melampygus,Bluefin trevally,"N-O, BP",PP,4.5,LC,Y,GI,1,1,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,Caranx papuensis,Brassy trevally,"N, P",PP,4,NE,Y,GI,3,32,14,43.75,2.4,"fragment, film",,1-5,J,11TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,Caranx sexfasciatus,Bigeye trevally,"N-O, BP",PP,4.5,LC,Y,GI,1,3,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,Decapterus macrosoma,Shortfin scad,"N, P",P,3.4,NE,Y,GI,3,17,5,29.41,4.2,fragments,PS (foam),1-5,,,Indian Ocean - Indonesia,IND,"Rochman et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,GI,3,25,7,28.00,1.1,fragments,,< 1,A,21TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,Decapterus muroadsi,Amberstripe scad,"N-O, P",P,3.4,LC,Y,GI,3,25,16,64.00,2.5,fragments,,1-5,,23TL,Pacific South - East - Rapa Nui,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,GI,2,20,16,80.00,3,fragments,PE,1-5,,14,Pacific South - East - Rapa Nui,PAC S,"Ory et al., 2017 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,Oligoplites palometa,Maracaibo leatherjacket,"N, BP",BP,4.3,LC,Y,GI,2,8,,no,,,,,,4,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,Oligoplites saliens,Castin leatherjacket,"N, BP",P,3.8,LC,Y,GI,2,2,,no,,,,,,6-8,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,Oligoplites saurus,Leatherjacket,"N, P",PP,4.3,NE,Y,GI,2,22,,yes,,,,,,6-7,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,Selar boops,Oxeye scad,"N, BP",P,3.5,NE,Y,GI,3,7,0,0.00,,,,,,,Indian Ocean - Indonesia,IND,"Rochman et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,Selene setapinnis,Atlantic moofish,"N, BP",PP,3.7,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,Selene vomer,Lookdown,"N, D",BP,4.3,LC,Y,GI,2,2,1,50.00,2,pellets,,1-5,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,GI,2,2,,no,,,,,,5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,Seriola lalandi ,Yellowtail kingfish,"N-O, BP",PP,4.2,NE,Y,GI,2,19,2,10.53,1,"fragment, filament",,1-5,,13.7-22,Pacific North -  Subtropical Gyre,PAC N,"Gassel et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,GI,3,15,3,20.00,1,fragments,,< 1,A,,Pacific South - Auckland,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,GI,1,10,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,Trachinotus ovatus,Pompano,"N, P",BP,3.7,LC,Y,G,2,115,28,24.35,1,fragments,,1-5,A,23.4FL,Mediterranean - central,MED,"Battaglia et al., 2016",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,Trachurus declivis,Greenback horse mackerel,"N-O, BP",P,3.9,NE,Y,"G, GI",2,23,0,0.00,,,,,,29.2,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,Trachurus mediterraneus,Med Horse mackerel,"O, P",PP,3.8,LC,Y,GI,3,98,67,68.37,2.6,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,GI,2,2,0,0.00,,,,,,15.6,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,Trachurus novaezelandiae,Yellowtail horse mackerel,"O, P",P,3.2,NE,Y,GI,3,31,1,3.23,1,fragment,,< 1,A&J,28TL,Pacific South - Auckland,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,Trachurus picturatus,Blue jack mackerel,"N, BP",P,3.3,NE,Y,G,2,29,1,3.45,1,fibres,"PE, PA, Ra, PEs, PMMA ",1-5,J-A,28,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,GI ,2,9,0,0.00,,,,,,29.1,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,Trachurus trachurus,Atlantic horse mackerel,"N-O, P",BP,3.7,NE,Y,GI,2,56,16,28.57,1.5,fibres,rayon,1-5,J-A,,Atlantic North - English Channel,ATL N,"Lusher et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,GI,3,100,1,1.00,,fragments,"PE, PP, PET",1-5,,20.9,Atlantic North - North Sea,ATL N,"Foekema et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,G,2,44,3,6.82,1,"fragm, fibres","PE, PP, PA, Ra, PEs, PMMA ",1-5,J-A,25,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,GI,2,5,0,0.00,,,,,,,Atlantic North - UK,ATL N,"Murphy et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,GI,2,50,12,24.00,2.2,fibres,,,,18,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,Centrolophidae,Psenopsis anomala,Pacific rudderfish,"N, BP",P,4,LC,Y,GI,3,18,18,100.00,1.9,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,Schedophilus ovalis,Imperial blackfish,"O, BP",P,3.5,NE,Y,GI,2,3,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,Schedophilus velaini,Violet warehou,"O, P",PP,4.2,LC,Y,GI,3,14,8,57.14,2.5,"fibre, fragments",,,,,Pacific South - East - Rapa Nui,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,Centropomidae,Centropomus ensiferus,Swordspine snook,"N, BP",BP,4.2,LC,Y,GI,2,1,,no,,,,,,7,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,Centropomus undecimalis,Common snook,"N, BP",BP,4.2,LC,Y,GI,2,2,,no,,,,,,14,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,Cepolidae,Cepola macrophthalma,Red bandfish,"N, D",P,3.1,NE,Y,GI,2,62,20,32.26,2.2,fibres,rayon,1-5,J-A,,Atlantic North - English Channel,ATL N,"Lusher et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,Chaetodontidae,Chaetodon austriacus,Blacktail butterflyfish,"N, B",G,3.3,LC,N,GI ,3,10,1,10.00,1,fibres,"PP, PE",1-5,,10.8,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,Cheilodactylidae,Nemadactylus macropterus,Tarakihi,"N, D",BP,3.4,NE,Y,GI,3,23,2,8.70,3.5,fibres,,1-5,,36TL,Pacific South - Auckland,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,Coryphaenidae,Coryphaena hippurus,Common dolphinfish,"N-O, P",PP,4.4,LC,Y,GI,3,10,2,20.00,2,fibres,,,,139TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,G,1,42,1,2.38,1,fragments,,> 5,various,90.9,Pacific North - central and East,PAC N,"Choy & Drazen, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,GI,2,2,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Phillips and Bonner, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,n/a,,n/a,,yes,,,,,,,n/a,,"Manooch et al., 1984 (in Hoss & Settle, 1990)",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,GI,1,1,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,Eleotridae,Oxyeleotris marmorata,Marble goby,"N, B",BP,3.9,LC,Y,GI,3,18,18,100.00,5.1,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,Ephippidae,Chaetodipterus faber,Atlantic spadefish,"N, D",BP,4.5 ??,LC,Y,G ,2,103,48,46.60,3.0,"fibres, microbeads",,1-5,,13.1,Atlantic North - Texas,ATL N,"Peters et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,GI,2,6,,yes,,,,,,5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,GI,2,5,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,Epigonidae,Epigonus telescopus,Black cardinal fish,"O, BP",BP,3.6,NE,Y,GI ,2,4,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,Gempylidae,Gempylus serpens,Snake mackarel,"O, P",PP,4.4,NE,Y,G,1,104,1,0.96,1,fragments,,> 5,various,96.9,Pacific North - central and East,PAC N,"Choy & Drazen, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,Lepidocybium flavobrunneum,Escolar,"O, P",PP,4.3,NE,Y,G,1,45,0,0.00,,,,,various,62.4,Pacific North - central and East,PAC N,"Choy & Drazen, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,Thyrsites atun,Snoek,"N-O, BP",PP,3.6,NE,Y,GI,3,28,8,28.57,1.6,"fragments, films",,< 1,,,Pacific South - East - Rapa Nui,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,"G, GI",2,2,0,0.00,,,,,,55.7,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,Gerreidae,Diapterus auratus,Irish mojarra,"N, D",BP,2.4,LC,Y,GI,2,29,,yes,,,,,,5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,Diapterus rhombeus,Caitipa mojarra,"N, D",BP,3,NE,Y,G,,44,5,11.36,,monofilament,PA,1-5,J-A,,"Atlantic South - Brazil, Goiana Estuary",ATL S,"Ramos et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,GI,2,31,,yes,,,,,,3-4,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,Eugerres brasilianus,Brazilian mojarra,"N, D",BP,3.4,NE,Y,G,,240,39,16.25,,monofilament,PA,1-5,J-A,,"Atlantic South - Brazil, Goiana Estuary",ATL S,"Ramos et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,GI,2,64,,yes,,,,,,3-5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,Eucinostomus argenteus,Silver mojarra,"N,D",O,3.2,LC,Y,GI,2,98,,yes,,,,,,4-6,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,Eucinostomus melanopterus,Flagfin mojarra,"N, D",O,3.4,NE,Y,G,,141,13,9.22,,monofilament,PA,1-5,J-A,,"Atlantic South - Brazil, Goiana Estuary",ATL S,"Ramos et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,GI,2,21,,no,,,,,,3,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,Gerres subfasciatus,Common silver belly,n/a,n/a,3.3,LC,Y,GI,2,24,5,20.83,7.1,,,,,6.8,Pacific South - Sydney Harbour,PAC S,"Halstead et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,Gobiidae,Bathygobius soporator,Frillfin goby,"N, B",BP,3.7,LC,N,GI,2,6,,no,,,,,,7,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,Ctenogobius boleosoma,Darter goby,"N, B",BP,3.3,LC,n/a,GI,2,27,,yes,,,,,,3,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,Ctenogobius stigmaticus,Marked goby,"N, B",BP,3.4,LC,N,GI,2,3,,no,,,,,,4,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,Gobionellus oceanicus,Highfin goby,"N, B",BP,3.4,LC,n/a,GI,2,6,,no,,,,,,12-15,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,Microgobius meeki,n/a,"N, B",BP,3.5,LC,n/a,GI,2,1,,no,,,,,,3,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,Pomatoschistus minutus,Sand goby,"N, B",BP,3.2,NE,N,GI, ,200,15,7.50,,plastic pellets,PS,1-5,,,Atlantic North - UK,ATL N,"Kartar et al., 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,Synechogobius ommaturus,Asian freshwater goby,"N, B",BP,3.5,NE,N,GI,3,18,18,100.00,5.7,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,Haemulidae,Anisotremus surinamensis,Black margate,"N, D",BP,3.6,DD,Y,GI,2,1,,no,,,,,,15,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,Anisotremus virginicus,Porkfish,"N, D",BP,3.6,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,Conodon nobilis,Barred grunt,"N, D",BP,3.6,LC,Y,GI,2,8,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,Genyatremus luteus,Torroto grunt,"N, D",O,3.5,NE,Y,GI,2,8,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,Haemulon plunierii,White grunt,"N, D",BP,3.8,LC,Y,GI,2,13,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,Haemulon steindachneri,Chere-chere grunt,"N, D",BP,3.7,LC,Y,GI,2,5,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,Orthopristis chrysoptera,"Grunt, pigfish","N, D",BP,3.4,LC,Y,G ,2,157,42,26.75,2.0,"fibres, microbeads",,1-5,,17.1,Atlantic North - Texas,ATL N,"Peters et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,Orthopristis ruber,Corocoro grunt,"N, D",BP,3.6,LC,Y,GI,2,2,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,Plectorhinchus gaterinus,Blackspotted subberlip,"N, B",BP,4,NE,Y,GI,3,6,2,33.33,1,fibres,"PP, PE",1-5,,26.5,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,Pomadasys corvinaeformis,Roughneck grunt,"N, D",BP,3.6,LC,Y,GI,2,4,,no,,,,,,11-12,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,Pomadasys incisus,Bastard grunt,"N, D",BP,3.8,LC,Y,GI,3,29,16,55.17,1.4,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,Istiophoridae,Istiompax indica,Black marlin,"O, P",PP,4.5,DD,Y,n/a,1,1,,yes,1,food packages,,> 5,,128,Indian Ocean - Indonesia,IND,"Fujieda et al., 2008",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,Kuhliidae,Kuhlia sandvicensis,Hawaiian flagtail,n/a,n/a,3.8,NE,Y,GI,1,15,3,20.00,,fragm,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,Kyphosidae,Girella laevifrons,n/a,"N, P",G,2.6,NE,N,GI,3,16,16,100.00,,fibres,,,J,,Pacific South - Chile,PAC S,"Mizraji et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,Girella tricuspidata,Parore,"N, BP",G,2.1,NE,y,GI,3,20,14,70.00,5.9,"fibres, fragments",,1-5,A,35TL,Pacific South - Auckland,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,Graus nigra,n/a,"N, D",BP,3.4,NE,Y,GI,3,8,8,100.00,,fibres,,,J,,Pacific South - Chile,PAC S,"Mizraji et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,Kyphosus pacificus,Pacific drummer,n/a,n/a,,NE,Y,GI,1,15,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,Kyphosus sandwicensis,Pacific chub,"N, D",G,,NE,Y,GI,3,39,20,51.28,5.3,fibres,,1-5,,,Pacific South - East - Rapa Nui,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,Kyphosus sydneyanus,Silver drummer,"N, B",G,2,NE,Y,GI,1,10,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,Labridae,Coris aygula,Clown coris,"N, D",BP,3.7,LC,Y,GI,1,1,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,Notolabrus tetricus,Blue-throated wrasse,"N, D",BP,3.6,LC,Y,"G, GI",2,7,0,0.00,,,,,,30.3,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
